Layer,Severity,Finding,Why it matters,Recommended fix,Evidence,Status
"Web / Payment / Pricing","Yüksek","Family/Pro self-serve checkout akışı Individual akışındaki disclosure/consent snapshot seviyesine sahip değil","Public pricing Family/Pro kartlarını gösteriyor ve checkout route'u fiyat ID'leri varsa Family/Pro abonelik başlatıyor; ancak kod notu bu yolun yalnızca policy version bastığını, campaign-style disclosure/consent snapshot yazmadığını söylüyor. Bu durum uyuşmazlık, iade, vergi/abonelik itirazı ve hukuki kanıt izi açısından zayıf kalır.","Family/Pro için de Individual ile aynı seviyede disclosure text, firstChargeAt/firstChargeAmount, consentAcceptedAt, IP/UA hash, checkoutDisclosureTextHash ve immutable redemption/snapshot kaydı üret; public self-serve'i bu tamamlanana kadar feature flag veya price-ID gate arkasında tut; ödeme testlerine Family/Pro snapshot beklentisi ekle.","apps/web/src/app/api/stripe/checkout/route.ts:107; apps/web/src/app/api/stripe/checkout/route.ts:216; apps/web/src/app/api/stripe/checkout/route.ts:240; apps/web/src/app/api/stripe/checkout/route.ts:553; apps/web/src/app/api/stripe/checkout/route.ts:575; packages/db/prisma/schema.prisma:266","OPEN"
"Web / Pricing / Signup","Orta","Public pricing kartlarında seçilen plan ve billing interval kayıt/abonelik girişinde korunmuyor","PricingSection CTA URL'sine plan ve billingInterval ekliyor; anonymous CTA /sign-up'a gidiyor, sign-up sadece redirect parametresini işliyor ve OAuth'u /onboarding'e gönderiyor. Logged-in subscription sayfası da yalnızca Stripe dönüşündeki success planını okuyor, ilk seçim sinyalini kullanmıyor. Kullanıcı Family/Pro veya annual/monthly seçmişken genel kayıt/onboarding ekranına düşüyor ve dönüşüm niyeti kayboluyor.","Pricing CTA'yı /sign-up?redirect=/settings/subscription?plan=...&billingInterval=... şeklinde güvenli encode et veya sign-up'ta plan/billingInterval parametrelerini whitelist edip doğrulama sonrası subscription sayfasına taşı; subscription sayfası initial plan/interval'i preselect/highlight etmeli; invite redirect akışıyla çakışmayan regression testleri ekle.","apps/web/src/components/marketing/pricing-section.tsx:164; apps/web/src/components/marketing/pricing-section.tsx:329; apps/web/src/lib/marketing-cta.ts:26; apps/web/src/app/sign-up/page.tsx:27; apps/web/src/app/sign-up/page.tsx:36; apps/web/src/app/(app)/settings/subscription/page.tsx:3; apps/web/src/components/settings/subscription-management.tsx:183; apps/web/src/components/settings/plan-change-section.tsx:54","OPEN"
"Web / Blog API","Orta","GET /api/blog/posts sözleşmesi keyset pagination vaat ediyor ama kod page/pageSize offset mantığı kullanıyor","Route yorumu mobil Blog tabının duplicate post yaşamaması için before=<isoDate> keyset pagination kullanıldığını söylüyor; implementation before parametresini hiç okumuyor. Yeni yazı yayınlandığında page tabanlı sonsuz scroll duplicate/skip üretebilir ve mobil cache/üçüncü parti tüketiciler yanlış kontrata güvenir.","before cursor desteğini listPublicPosts seviyesine ekle ve nextBefore döndür; ya da kontratı açıkça page/pageSize olarak değiştir. Mobil infinite-scroll ve publish-mid-pagination regression testi ekle.","apps/web/src/app/api/blog/posts/route.ts:4; apps/web/src/app/api/blog/posts/route.ts:9; apps/web/src/app/api/blog/posts/route.ts:27; apps/web/src/app/api/blog/posts/route.ts:33","OPEN"
"Web / Email Unsubscribe","Yüksek","/unsubscribe insan onay sayfası public middleware allow-list'inde değil","Email footer URL builder /unsubscribe?t=... üretir ve sayfanın kendi kontratı No auth required der; ancak middleware public page listesinde /unsubscribe yok. Oturumu olmayan kullanıcı e-postadaki unsubscribe linkine tıklayınca token doğrulama/onay sayfası yerine sign-in redirect alır. Bu kullanıcı güveni ve e-posta uyumu açısından ciddi kırık akıştır; mevcut middleware testi yalnızca /api/unsubscribe'ı kapsıyor.","/unsubscribe path'ini PUBLIC_PATHS listesine ekle, noindex davranışını koru, middleware testine anonim GET /unsubscribe?t=... senaryosu ekle ve e-posta footer linkinden sayfa renderına kadar entegrasyon testi yaz.","apps/web/src/app/unsubscribe/page.tsx:18; apps/web/src/app/unsubscribe/page.tsx:31; apps/web/src/lib/unsubscribe.ts:107; apps/web/src/middleware.ts:24; apps/web/src/middleware.ts:797; apps/web/src/middleware.ts:804; apps/web/src/middleware.test.ts:380","OPEN"
"Web / Auth / Billing Gate","Orta","Email verification ve legal onboarding gate'i bazı hassas API mutasyonlarında route seviyesinde zorunlu değil","Password login başarı durumunda emailVerified=false olsa bile session üretir; UI verify-email'e yönlendiriyor, fakat /api/stripe/checkout ve subscription endpointleri doğrudan requireDbUserId ile yetiniyor. Bu sayfa katmanı bypass edilirse doğrulanmamış/henüz onboarding legal consent'i olmayan hesap checkout/subscription mutation çağırabilir.","Checkout, subscription change/actions/switch-cycle ve benzer hassas mutasyonlarda requireVerifiedUser veya requireAppMutationUser benzeri route-level gate kullan; ödeme özelindeki acceptedSubscriptionTerms ile genel Terms/Disclaimer legal consent'i ayrı tut; direkt API çağrısı regression testleri ekle.","apps/web/src/lib/password-login.ts:387; apps/web/src/lib/password-login.ts:406; apps/web/src/lib/password-login.ts:415; apps/web/src/app/sign-in/page.tsx:125; apps/web/src/app/api/stripe/checkout/route.ts:287; apps/web/src/app/api/subscription/actions/route.ts:57; apps/web/src/app/api/subscription/change-plan/route.ts:199; apps/web/src/app/api/subscription/switch-cycle/route.ts:196","OPEN"
"Web / Auth / Password Change","Orta","/api/auth/password/change mevcut parola denemeleri için özel rate limit veya lockout uygulamıyor","Route currentPassword doğruluyor ama auth_login/mfa_verify/password_reset gibi route-level enforceRateLimitPolicy kullanmıyor; yalnızca middleware'in genel user_write limiti kalıyor (120/dk, failClosed=false). Ele geçirilmiş oturumda saldırgan mevcut parolayı hızlı denemeye çalışabilir ve başarılı olursa tüm oturumları devre dışı bırakıp yeni parola belirleyebilir.","Password change için user_session_route veya user_route stratejili düşük eşikli fail-closed policy ekle; yanlış currentPassword denemelerini audit/security alerting'e yaz; testlerde rate-limited response ve yanlış parola burst senaryosunu kilitle.","apps/web/src/app/api/auth/password/change/route.ts:25; apps/web/src/app/api/auth/password/change/route.ts:50; apps/web/src/lib/rate-limit-policy.ts:176; apps/web/src/lib/rate-limit-policy.ts:200; apps/web/src/app/api/auth/password/change/route.test.ts:81","OPEN"
"Web / Account Security / Impersonation","Düşük","Security sessions listesinde impersonated flag'i her zaman false dönebilir","serializeLoginSession session.impersonatedByAdminId alanına bakıyor; ancak loginSessions select listesi bu alanı seçmiyor. Sonuç olarak account security ekranındaki session listesi admin impersonation oturumlarını normal oturum gibi gösterebilir; /api/auth/me banner ayrı çalışsa bile cihaz listesi şeffaflığı bozulur.","userLoginSession.findMany select listesine impersonatedByAdminId ekle ve route testinde impersonated session'ın true döndüğünü doğrula.","apps/web/src/app/api/auth/security/route.ts:31; apps/web/src/app/api/auth/security/route.ts:44; apps/web/src/app/api/auth/security/route.ts:68; apps/web/src/app/api/auth/security/route.ts:72; packages/db/prisma/schema.prisma:157","OPEN"
"Web / Offline / PWA","Düşük","/offline sayfası var ve service worker referansı içeriyor ama public page allow-list'inde değil","Offline fallback sayfası tanımlı ve public sw.js içinde /offline referansı var; middleware public page listesinde /offline yok, anonim doğrudan erişim sign-in redirect'e düşer. Service worker şu an devre dışı olduğu için bug düşük etkili, fakat PWA tekrar açılırsa offline fallback yanlış sayfaya veya auth redirect'e bağlanabilir.","/offline path'ini PUBLIC_PATHS listesine ekle veya PWA/offline desteği gerçekten kapalıysa route ve sw referanslarını temizle; middleware testinde anonim /offline GET'in next'e geçtiğini veya route'un bilinçli kaldırıldığını kilitle.","apps/web/src/app/offline/page.tsx:6; apps/web/public/sw.js:8; apps/web/public/sw.js:166; apps/web/src/middleware.ts:24; apps/web/src/middleware.ts:797; apps/web/src/lib/service-worker-cache.test.ts:11","OPEN"
"Web / GEO / LLM Discovery","Düşük","llms.txt blog listesi DB hatasını sessizce boş içerik gibi yayımlıyor","listLlmsBlogPosts catch bloğunda log/telemetry olmadan [] döndürüyor; buildLlmsTxt bunu '(No posts available...)' diye üretir. DB veya deploy anlık hatasında AI/LLM discovery yüzeyi blog envanterini yokmuş gibi gösterebilir ve ekip bunu fark etmeyebilir.","DB hatasını Sentry/log ile yakala, llms.txt response header'ına degraded sinyali ekle veya son başarılı blog snapshot'ını fallback olarak kullan; en azından sitemap'teki warning davranışıyla tutarlı hale getir.","apps/web/src/lib/public-ai-discovery.ts:65; apps/web/src/lib/public-ai-discovery.ts:85; apps/web/src/lib/public-ai-discovery.ts:111","OPEN"
"Web / Addresses","Orta","Adres tarih/ülke doğrulaması semantik olarak eksik","addressSchema startDate'i sadece boş olmayan string olarak kabul ediyor, endDate'i tarih olarak doğrulamıyor ve endDate >= startDate kuralı yok; country serbest string iken state/zip tamamen US formatına zorlanıyor. POST/PATCH bu stringleri doğrudan new Date(...) ile DB DateTime'a çeviriyor. Geçersiz tarih 400 yerine 500/Prisma hatasına, bitiş tarihi başlangıçtan önce olan kayıtlar ise taşınma/hatırlatma mantığında tutarsızlığa yol açabilir.","startDate/endDate için z.coerce.date veya ISO-date regex + Date geçerlilik kontrolü ekle; endDate varsa startDate'ten küçük olmasını reddet; country'yi desteklenen ülke setine bağla veya US dışı adresler için state/zip kurallarını ülkeye göre ayır; validator ve API testlerine invalid date/country/end-before-start senaryoları ekle.","apps/web/src/lib/validators.ts:42; apps/web/src/lib/validators.ts:44; apps/web/src/lib/validators.ts:47; apps/web/src/lib/validators.ts:48; apps/web/src/app/api/addresses/route.ts:125; apps/web/src/app/api/addresses/route.ts:126; apps/web/src/app/api/addresses/[id]/route.ts:134; apps/web/src/app/api/addresses/[id]/route.ts:135; apps/web/src/lib/__tests__/validators.test.ts:50","OPEN"
"Web / Addresses","Orta","Birincil adres silme akışında stale primary promotion race condition var","DELETE /api/addresses/:id silinen adres primary ise yeni primary adayını transaction dışında okuyor ve kod yorumu kullanıcıyı single-threaded varsayıyor. Aynı kullanıcı iki sekmeden primary adres silme/güncelleme yaparsa promotedPrimaryId transaction'a gelene kadar silinmiş/değişmiş olabilir; provider detail, provider compare ve connector dispatch primary adresi fallback olmadan okuduğu için kullanıcı addresses-but-no-valid-primary durumuna düşebilir.","Yeni primary adayını aynı transaction içinde ve deletedAt/isPrimary koşullarıyla yeniden doğrula; optimistic concurrency veya DB transaction isolation kullan; update where'e deletedAt:null ve kullanıcı/workspace scope'u ekle; eşzamanlı iki DELETE/PATCH testi yaz.","apps/web/src/app/api/addresses/[id]/route.ts:223; apps/web/src/app/api/addresses/[id]/route.ts:228; apps/web/src/app/api/addresses/[id]/route.ts:229; apps/web/src/app/api/addresses/[id]/route.ts:232; apps/web/src/app/api/addresses/[id]/route.ts:257; apps/web/src/app/api/addresses/[id]/route.ts:260","OPEN"
"Web / Services / Legal Gate","Orta","Servis mutasyonları legal/onboarding gate'ini route seviyesinde zorunlu kılmıyor","Adres ve custom-provider mutasyonları requireAppMutationUser kullanarak Terms/Disclaimer kabulünü denetliyor; servis POST/PATCH/DELETE ise sadece requireVerifiedUser ile email doğrulamasına bakıyor. UI layout onboarding'e yönlendirse de doğrulanmış ama legal consent'i tamamlamamış bir hesap doğrudan /api/services endpointleriyle servis oluşturabilir, düzenleyebilir veya silebilir.","Servis POST/PATCH/DELETE için requireAppMutationUser'a geç; EMAIL_VERIFICATION_REQUIRED yanında LEGAL_ACCEPTANCE_REQUIRED regresyon testleri ekle; onboarding tamamlanmadan servis yaratmayı API seviyesinde de engelle.","apps/web/src/lib/api-gates.ts:101; apps/web/src/lib/api-gates.ts:115; apps/web/src/app/api/addresses/route.ts:70; apps/web/src/app/api/custom-providers/route.ts:113; apps/web/src/app/api/services/route.ts:122; apps/web/src/app/api/services/[id]/route.ts:142; apps/web/src/app/api/services/[id]/route.ts:263; apps/web/src/app/api/services/route.test.ts:245; apps/web/src/app/api/services/[id]/route.test.ts:145","OPEN"
"Web / Services","Orta","Servis contractEndDate API doğrulaması ve web editörü renewal alanları arasında tutarsızlık var","serviceSchema contractEndDate'i sadece optional string kabul ediyor ve POST/PATCH bunu doğrudan new Date(...) ile kaydediyor; web listeleme bile invalid contractEndDate için defensive fallback testi içeriyor. Aynı zamanda servis listesi/detayı contractEndDate, autoRenewal ve billingCycle'ı gösterirken edit formu contractEndDate/autoRenewal/billingCycle alanlarını hiç yüklemiyor veya göndermiyor. Kullanıcı renewal/kontrat bilgisini düzeltemez, API ile geçersiz tarih yazılırsa hatırlatma ve needs-attention sinyali sessizce yanlışlaşır.","contractEndDate için server-side geçerli ISO tarih doğrulaması ve temizleme/null'a çekme davranışı ekle; edit ve create formlarına billingCycle, autoRenewal ve contractEndDate kontrollerini koy; invalid contractEndDate'in 400 döndüğü ve UI'da alanların round-trip ettiği testleri ekle.","apps/web/src/lib/validators.ts:76; apps/web/src/lib/validators.ts:78; apps/web/src/app/api/services/route.ts:284; apps/web/src/app/api/services/[id]/route.ts:222; apps/web/src/app/(app)/services/page.tsx:42; apps/web/src/app/(app)/services/[id]/edit/page.tsx:21; apps/web/src/app/(app)/services/[id]/edit/page.tsx:62; apps/web/src/app/(app)/services/new/page.tsx:257; apps/web/src/app/(app)/services/services-client.test.tsx:97","OPEN"
"Web / Moving / Workspace","Yüksek","/api/moving/migration workspace kapsamını kullanmadığı için Family/Pro plan analizini kırıyor","Ana /api/moving liste/detay scopedRecordWhere ve assertScopedRecordAction ile workspace planlarını gösteriyor; plan ekranı ve mobil detay ise aynı plan için /api/moving/migration çağırıyor. Migration route'u resolveWorkspaceDataScope kullanmıyor, planı sadece id ile alıp plan.userId !== userId ise 404 dönüyor ve servisleri userId + fromAddressId ile çekiyor. Owner'ın planını görüntüleyen aktif üye analiz göremez; workspace içindeki diğer kullanıcıların aynı adres servisleri migration analizine dahil edilmez.","Migration route'unu resolveWorkspaceDataScope + assertScopedRecordAction ile güncelle; plan sorgusunda workspaceId/user kapsamını scopedRecordWhere ile uygula; servis sorgusunda activeTrackedServiceWhereForScope kullan; Family/Pro owner/member/child senaryoları için web ve mobil regression testi ekle.","apps/web/src/app/api/moving/route.ts:40; apps/web/src/app/api/moving/route.ts:43; apps/web/src/app/api/moving/[id]/route.ts:38; apps/web/src/app/api/moving/[id]/route.ts:51; apps/web/src/app/api/moving/migration/route.ts:27; apps/web/src/app/api/moving/migration/route.ts:44; apps/web/src/app/api/moving/migration/route.ts:52; apps/web/src/app/api/moving/migration/route.ts:67; apps/web/src/app/(app)/moving/plan/[id]/page.tsx:125; apps/mobile/app/moving/[id].tsx:87","OPEN"
"Web / Move Tasks / Legal Gate","Orta","Move-task üretme ve güncelleme endpointleri email/legal gate yerine yalnızca session kontrolü kullanıyor","/api/moving POST/PATCH/DELETE requireAppMutationUser ile legal acceptance denetlerken /api/move-tasks POST ve PATCH requireDbUserId ile yetiniyor. PATCH COMPLETE akışı completeMoveTaskWithLocalEffect üzerinden servis kaydı oluşturabiliyor, devre dışı bırakabiliyor veya transfer edebiliyor. Doğrulanmamış ya da Terms/Disclaimer kabul etmemiş kullanıcı direct API ile görev yaşam döngüsünü ve servis kayıtlarını değiştirebilir.","/api/move-tasks POST/PATCH için requireAppMutationUser kullan; GET read-only kalabilir. EMAIL_VERIFICATION_REQUIRED ve LEGAL_ACCEPTANCE_REQUIRED testleri ekle; COMPLETE local-effect servis mutasyonlarının aynı gate altında kaldığını doğrula.","apps/web/src/app/api/move-tasks/route.ts:93; apps/web/src/app/api/move-tasks/route.ts:141; apps/web/src/app/api/move-tasks/route.ts:232; apps/web/src/app/api/move-tasks/route.ts:331; apps/web/src/lib/move-task-local-effects.ts:115; apps/web/src/lib/move-task-local-effects.ts:155; apps/web/src/lib/move-task-local-effects.ts:203","OPEN"
"Web / Moving","Orta","Moving plan moveDate ve inline destination startDate geçerli tarih olarak doğrulanmıyor","movingPlanSchema moveDate'i yalnızca boş olmayan string olarak kabul ediyor; PATCH şeması da moveDate için z.string().optional kullanıyor. POST/PATCH bu değerleri doğrudan new Date(...) ile kaydediyor, inline destinationAddress.startDate de addressSchema'dan gelen zayıf tarih doğrulamasına bağlı. Geçersiz tarih 400 yerine 500/Prisma hatasına veya görev dueDate üretiminde null/yanlış zamanlamaya dönüşebilir.","moveDate ve destinationAddress tarihlerini server-side ISO tarih olarak doğrula; PATCH invalid moveDate'e 400 dönmeli; görev dueDate senkronizasyonu için invalid date regression testi ekle.","apps/web/src/lib/validators.ts:119; apps/web/src/lib/validators.ts:123; apps/web/src/app/api/moving/route.ts:193; apps/web/src/app/api/moving/route.ts:210; apps/web/src/app/api/moving/[id]/route.ts:20; apps/web/src/app/api/moving/[id]/route.ts:93; apps/web/src/app/api/moving/route.test.ts:72; apps/web/src/app/api/moving/[id]/route.test.ts:189","OPEN"
