"id","app","area","routeOrScreen","filePath","componentOrFunction","issueType","severity","currentTextOrKey","expectedBehavior","missingLocale","evidence","recommendedFix","testToAdd","needsManualTranslationReview"
"MOB-001","mobile","startup/auth","app shell OAuth failure","apps/mobile/app/_layout.tsx","AuthGuard/oauth exchange effect","TOAST_OR_ALERT_NOT_LOCALIZED","High","Sign-in failed; Could not complete mobile sign-in.","OAuth/deep-link failure alerts should be localized.","es","Line 107 hardcodes Alert.alert title and fallback message.","Use useTranslation in a child component or pass localized auth/toast keys into the alert.","Spanish OAuth failure alert test.","false"
"MOB-002","mobile","auth","OAuth callback","apps/mobile/src/components/OAuthCallbackScreen.tsx","OAuthCallbackScreen","HARDCODED_ENGLISH","Medium","Completing sign-in...","OAuth callback loading state should render Spanish.","es","Line 9 hardcodes the Text component.","Use t('auth.completingSignIn') or common loading key.","Render OAuthCallbackScreen with i18n.language=es.","false"
"MOB-003","mobile","auth","/reset-password/[token]","apps/mobile/app/reset-password/[token].tsx","ResetPasswordScreen","ROUTE_NOT_LOCALIZED","High","Reset password; Choose a new password; New password; Confirm password; Saving...","Reset-password screen should be fully localized.","es","Lines 24,28,40,47,58,67,88 hardcode errors, alert, labels, copy, and buttons; no useTranslation.","Wire react-i18next and add/reset password keys shared with web.","Spanish reset-password form and success test.","false"
"MOB-004","mobile","shared error","ErrorBoundary","apps/mobile/src/components/ErrorBoundary.tsx","ErrorBoundary","HARDCODED_ENGLISH","Medium","Something went wrong; An unexpected error occurred. Please try again.; Try again","App-wide error boundary should localize fallback UI.","es","Lines 45,47,50 hardcode fallback text.","Convert to function wrapper using translation or pass localized fallback.","Spanish ErrorBoundary fallback test.","false"
"MOB-005","mobile","shared error","ErrorState","apps/mobile/src/components/ui/ErrorState.tsx","ErrorState","HARDCODED_ENGLISH","Medium","Something went wrong; Please check your connection and try again.; Try Again; Please try again.; Retries loading this screen","Reusable error state defaults and accessibility hint should be localized.","es","Default props at lines 15-17, message fallback line 26, accessibilityHint line 34.","Use translation keys for defaults or require callers to pass localized copy.","Spanish ErrorState default render test.","false"
"MOB-006","mobile","shared loading","LoadingScreen/LoadingOverlay","apps/mobile/src/components/ui/LoadingScreen.tsx","LoadingScreen","HARDCODED_ENGLISH","Medium","Loading...; Loading","Reusable loading text and progressbar label should be localized.","es","Default prop line 9 and overlay accessibilityLabel line 20 hardcode English.","Use common.loading and localized accessibility labels.","Spanish loading component test.","false"
"MOB-007","mobile","settings/language","Language selector","apps/mobile/src/components/ui/LanguageSelector.tsx","LanguageSelector","HARDCODED_ENGLISH","Low","Language / Idioma","Language selector heading should use active locale translation, not bilingual hardcoded copy.","es","Line 49 hardcodes heading; labels are endonyms and acceptable.","Use t('settings.language_title') and keep endonym options.","Spanish settings language selector render test.","false"
"MOB-008","mobile","settings/language","Language selector","apps/mobile/src/components/ui/LanguageSelector.tsx","LanguageSelector","LOCALE_PERSISTENCE_BUG","Low","Best-effort /api/user/locale sync failures are swallowed","User should still keep local persistence, but server sync failure should be observable or retried.","","Selector persists AsyncStorage before API call; failures are non-blocking and invisible.","Consider retry/telemetry and local-state confirmation; no blocker for local Spanish mode.","Unit test for AsyncStorage persistence when API fails.","false"
"MOB-009","mobile","onboarding","/onboarding profile/options","apps/mobile/app/onboarding.tsx","static option arrays","HARDCODED_ENGLISH","High","Single; Couple; Family; Home; Work; Owner; Renter; Children; Pets; Personal Move; US Citizen; Green Card; Other Visa","Onboarding chips/options should render Spanish labels.","es","Lines 67-126 define English labels; rendered at lines 614,735,767,818,829.","Replace labels with translation keys or derive from dictionaries by enum.","Spanish onboarding options snapshot.","true"
"MOB-010","mobile","onboarding","/onboarding sensitive flags","apps/mobile/app/onboarding.tsx","SENSITIVE_FLAGS","HARDCODED_ENGLISH","High","Someone at home has a disability","Sensitive household option should be localized and copy-reviewed.","es","Line 109 static label is rendered directly in profile step.","Add onboarding.household_disability or profile flag keys.","Spanish onboarding sensitive option test.","true"
"MOB-011","mobile","tabs/navigation","More tab","apps/mobile/app/(tabs)/more.tsx","MoreScreen","HARDCODED_ENGLISH","Low","Blog","More tab route label should use a translation key unless Blog is intentional product/category term.","es","Line 91 hardcodes menu item label Blog.","Add settings/blog/nav key or mark Blog as intentional if product decision.","Spanish More tab item test.","true"
"MOB-012","mobile","dashboard","Home tab","apps/mobile/app/(tabs)/index.tsx","Dashboard tab","HARDCODED_ENGLISH","Medium","Dashboard unavailable","Dashboard error title should be localized.","es","Line 237 passes hardcoded title to ErrorState.","Use dashboard.unavailable or errors.dashboardUnavailable key.","Spanish dashboard error state test.","false"
"MOB-013","mobile","budget","/budget/[id]","apps/mobile/app/budget/[id].tsx","BudgetDetailScreen","ROUTE_NOT_LOCALIZED","Medium","Budget; Budget unavailable; Over Budget; On Track; Planned; Savings; Spending by Category; Total; Notes","Budget detail should localize all labels/statuses.","es","Lines 86,90,137,147,158,166,184,193 show English text.","Move budget detail labels/statuses to budget namespace.","Spanish budget detail render test.","false"
"MOB-014","mobile","blog","/blog","apps/mobile/app/blog/index.tsx","BlogIndexScreen","HARDCODED_ENGLISH","Low","Try again; No posts yet - check back soon.","Blog empty/retry states should be localized or intentionally English-only.","es","Lines 120 and 129 hardcode retry/empty text.","Add blog.* mobile keys and use i18n locale already sent to API.","Spanish blog empty/error test.","false"
"MOB-015","mobile","blog","/blog/[slug]","apps/mobile/app/blog/[slug].tsx","BlogDetailScreen","HARDCODED_ENGLISH","Low","Post not found; Try again; Open web version","Blog detail errors/actions should be localized.","es","Lines 79,127,168 hardcode text.","Add blog detail keys and map not-found error.","Spanish blog detail error test.","false"
"MOB-016","mobile","providers","Recommended row","apps/mobile/src/components/provider/RecommendedRow.tsx","RecommendedRow/tierBadge","HARDCODED_ENGLISH","Medium","Recommended for you; Critical; Important; Recommended","Recommended provider row default title and tier badges should be translated.","es","Line 24 default title; lines 77-79 hardcode badge labels.","Pass t labels from caller or make component translation-aware.","Spanish provider recommended row test.","false"
"MOB-017","mobile","providers","Provider/service API passthrough","apps/mobile/app/providers/[id].tsx; apps/mobile/app/providers/index.tsx; apps/mobile/app/services/new.tsx","provider/service screens","API_ERROR_NOT_LOCALIZED","Medium","res.error displayed in ErrorState/Alert.alert","Provider/service errors should be mapped to localized messages.","es","Provider and service screens call setError(res.error) or Alert.alert(..., res.error).","Return backend codes and map through providers/services/toast keys.","Mock English API error in Spanish and assert localized replacement.","false"
"MOB-018","mobile","settings/profile","/settings/profile","apps/mobile/app/settings/profile.tsx","ProfileSettingsScreen","ROUTE_NOT_LOCALIZED","High","Edit Profile; Profile unavailable; Has Children; Number of Children; Pet Types; Move Type; Moving Needs; Sensitive Profile; Prefer not to say","Profile settings should be fully localized.","es","Lines 103,114,122,138,142,187,243-391 contain English labels/alerts.","Move all labels/options/alerts to settings.profile/onboarding keys.","Spanish profile settings snapshot and validation test.","true"
"MOB-019","mobile","settings/profile","/settings/profile","apps/mobile/app/settings/profile.tsx","FAMILY_STATUSES","MOBILE_WEB_TERMINOLOGY_MISMATCH","Medium","SINGLE -> common.unknown; COUPLE -> common.yes; FAMILY -> first word of onboarding.goal_organize","Family-status labels should be correct and consistent with web/onboarding terminology.","es","Lines 35-39 derive labels from unrelated translation keys.","Add explicit profile.familyStatus_* keys for both locales.","Unit test that enum labels match expected Spanish copy.","true"
"MOB-020","mobile","settings/privacy","/settings/privacy","apps/mobile/app/settings/privacy.tsx","PrivacySettingsScreen","ROUTE_NOT_LOCALIZED","High","Account security; Linked sign-in methods and real login sessions; Loading account security...; Email verified; Password enabled; OAuth only; Login sessions; Analytics","Privacy/security settings should be fully localized.","es","Lines 280-395 contain English headings, descriptions, badges, buttons, loading/error states.","Add settings.security/session/analytics keys; localize session badges and dates.","Spanish privacy settings render test with security fixture.","false"
"MOB-021","mobile","settings/privacy","/settings/privacy","apps/mobile/app/settings/privacy.tsx","requestSetPasswordEmail/revokeOtherSessions/updateAnalyticsConsent","TOAST_OR_ALERT_NOT_LOCALIZED","High","Privacy; Password; We sent a secure password setup link to your email.; Sessions; other session(s) revoked.","Privacy/security alerts should be localized and pluralized.","es","Lines 119,162,167,179,184 hardcode Alert.alert titles/messages.","Use settings.security alert keys and i18next pluralization.","Spanish alert tests for password setup and revoke sessions.","false"
"MOB-022","mobile","settings/delete","/settings/delete-account","apps/mobile/app/settings/delete-account.tsx","DeleteAccountScreen","HARDCODED_ENGLISH","High","Password; Password required; Use the emailed setup link...; Email setup link","Delete-account password-required flow should be localized.","es","Lines 50,54,59,116,128 hardcode password setup copy.","Add settings.delete/passwordRequired keys and localized alerts.","Spanish OAuth-only delete account test.","true"
"MOB-023","mobile","settings/delete","/settings/delete-account","apps/mobile/app/settings/delete-account.tsx","DeleteAccountScreen a11y","ACCESSIBILITY_LABEL_NOT_LOCALIZED","Medium","Go back; Returns to privacy settings; Delete account confirmation text; Current password; Permanently delete account; Deletes your account and all associated data","Delete-account accessibility labels/hints should be localized.","es","Lines 92-93,145,157-158,167-168 hardcode a11y copy.","Add accessibility keys or derive from visible localized labels.","Spanish accessibility query test.","false"
"MOB-024","mobile","settings/export","/settings/export","apps/mobile/app/settings/export.tsx","ExportSettingsScreen","API_ERROR_NOT_LOCALIZED","Medium","res.error; Export storage is unavailable on this device.","Export errors should be localized and not show raw backend English.","es","Line 70 throws English fallback; line 93 displays e.message/res.error.","Map export API/storage errors to settings.export keys.","Spanish export error test.","false"
"MOB-025","mobile","settings/subscription","/settings/subscription","apps/mobile/app/settings/subscription.tsx","SubscriptionSettingsScreen","API_ERROR_NOT_LOCALIZED","Medium","getLocalizedIapError(result.message); res.error shown in alerts","Store/backend billing messages should be mapped to localized copy.","es","Subscription screen localizes many labels but alerts may show raw IAP/API English messages.","Map known IAP/backend codes; do not display arbitrary English messages directly.","Spanish IAP error mapping tests.","true"
"MOB-026","mobile","moving","/moving/[id]; /moving/new","apps/mobile/app/moving/[id].tsx; apps/mobile/app/moving/new.tsx","Moving screens","API_ERROR_NOT_LOCALIZED","Medium","Alert.alert(t('moving.moveTasksAlert'), res.error)","Moving API errors should be localized/code-mapped.","es","moving/[id] lines 103,116,202 and moving/new line 253 pass res.error.","Map moving API error codes to moving keys.","Spanish moving API error alert tests.","false"
"MOB-027","mobile","shared input","Input password toggle","apps/mobile/src/components/ui/Input.tsx","Input","ACCESSIBILITY_LABEL_NOT_LOCALIZED","Low","Show password; Hide password; Toggles password visibility","Password visibility accessibility labels/hints should be localized.","es","Lines 69-70 hardcode labels/hint.","Add common.showPassword/hidePassword/passwordVisibilityHint keys.","Spanish accessibility test for password input.","false"
"MOB-028","mobile","i18n messages","services.summaryLine","apps/mobile/src/i18n/messages/en.json; apps/mobile/src/i18n/messages/es.json","i18next resources","PLURALIZATION_ISSUE","High","{{count}} service{{count, plural, one {} other {s}}} ...","Mobile i18next should use supported pluralization syntax or ICU plugin.","es","Mobile config has no i18next-icu; services.summaryLine and missingCostHint contain ICU plural syntax.","Replace with i18next plural keys (`summaryLine_one/other`) or install/configure ICU.","Unit test t('services.summaryLine',{count:1/2}) in en/es.","false"
"MOB-029","mobile","i18n messages","providers.daysUntilMove; moving.overdueSummary","apps/mobile/src/i18n/messages/en.json; apps/mobile/src/i18n/messages/es.json","i18next resources","INTERPOLATION_MISMATCH","High","EN providers.daysUntilMove has plural ICU vars; ES does not. ES moving.overdueSummary has ICU plural vars; EN does not.","Interpolation variables and plural handling should match and render correctly.","es","Flattened comparison found 2 interpolation mismatches caused by unsupported ICU syntax.","Use i18next plural keys and align variable sets.","Coverage test for interpolation variable parity and plural rendering.","false"
"MOB-030","mobile","i18n messages","mobile dictionaries","apps/mobile/src/i18n/messages/en.json; apps/mobile/src/i18n/messages/es.json","messages","ES_EQUALS_EN","Info","19 ES values exactly equal EN","Equal values should be reviewed and allowlisted only for acronyms/product/legal/provider terms.","es","Flattened comparison found equal values including Fitness, FAQ, Ticket, Error, General, Push, Legal, DMV, HOA.","Manual copy review and allowlist expected identical values.","Translation parity test with equal-value allowlist.","true"
"MOB-031","mobile","i18n keys","mobile dictionaries/source","apps/mobile/src/i18n/messages/en.json; apps/mobile","messages/static use scan","UNUSED_TRANSLATION_KEY","Info","176 static unused candidates","Unused/stale keys should be confirmed with dynamic-aware tooling before deletion.","","Static scan found candidates; many categories/coverage keys are dynamically referenced.","Add i18n key usage test aware of dynamic patterns like categories.${key} and coverage.${confidence}.","CI key usage test with dynamic pattern allowlist.","false"
"MOB-032","mobile","native config","app name/permissions","apps/mobile/app.json; apps/mobile/android/app/src/main/res/values/strings.xml","Expo/Android config","NEEDS_MANUAL_REVIEW","Low","LocateFlow; Use Face ID to unlock LocateFlow.","Brand app name can stay English; permission copy may need native localization if shipped in Spanish markets.","es","app.json line 107 has English Face ID permission string; Android app_name is brand.","Add native iOS/Android localized permission strings if app store locale requires Spanish.","Native config localization smoke check.","true"
