"id","platform","area","filePath","routeOrScreen","issueType","severity","evidence","policyRisk","technicalRisk","recommendedFix","testsToAdd","needsManualStoreConfig"
"IAP-001","Android","Client purchase flow","apps/mobile/src/lib/iap.ts","purchaseSubscription","MISSING_PLAY_BILLING_CLIENT","Critical","Android subscription purchase request sends SKU data but no subscription offer token or base-plan offer token. The installed IAP module expects offer tokens for subscription purchases.","High: Android users may see a subscription CTA but cannot complete the required Play Billing purchase flow.","High: purchase can fail before a Play purchase is created; production subscription enablement is blocked.","Fetch Play subscription offer details and call purchase with subscriptionOffers including sku and offerToken for the selected base plan or offer.","Android unit/integration test that purchase request includes offerToken for monthly and yearly products; Play sandbox purchase test.","TRUE"
"IAP-002","iOS","Client IAP readiness","apps/mobile/src/lib/iap.ts","purchaseSubscription","NEEDS_MANUAL_REVIEW","Medium","iOS client sends signed transaction data and finishes after backend verification, but source cannot prove StoreKit capability, App Store products, subscription group, or sandbox setup are active.","Medium: review may reject if IAP products are unavailable or misconfigured.","Medium: purchase UI can be visible while store products are not ready.","Verify EAS/App Store build capability and App Store Connect products; keep purchase UI disabled until sandbox purchase and restore pass.","iOS sandbox tests for purchase, restore, renewal, expiration, refund, and revoke.","TRUE"
"IAP-003","iOS/Android","Mobile billing UI","apps/mobile/app/settings/subscription.tsx","handleManageBilling","EXTERNAL_CHECKOUT_POLICY_RISK","High","Stripe-managed users in the mobile subscription screen can open a Stripe customer portal URL in an external browser.","High: iOS and Android store review may treat this as steering to external subscription management or payment changes for digital features.","Medium: users can encounter multiple billing systems from mobile, causing source confusion.","Hide Stripe portal access in iOS/Android store builds; show web-only management instructions without an external payment link unless counsel confirms an exception.","Mobile UI tests proving iOS and Android do not open Stripe portal or checkout for digital subscriptions.","FALSE"
"IAP-004","iOS/Android","Mobile billing copy","apps/mobile/src/i18n/messages/en.json","subscription_a11yUpgradeHint","EXTERNAL_CHECKOUT_POLICY_RISK","Medium","Upgrade accessibility hint still says the action opens secure checkout in a browser even though mobile code should use IAP.","Medium: browser checkout language can be interpreted as external purchase steering or unfinished billing copy.","Low: assistive technology users receive inaccurate purchase flow information.","Change mobile billing copy to reference the native store purchase flow and remove browser-checkout wording from store builds.","Accessibility snapshot test for upgrade CTA copy on iOS and Android.","FALSE"
"IAP-005","Stripe/Mobile","Checkout endpoint policy boundary","apps/web/src/app/api/stripe/checkout/route.ts","POST /api/stripe/checkout","WEB_STRIPE_MOBILE_CONFLICT","High","Stripe checkout route authenticates and validates plan state but has no explicit server-side rejection for iOS or Android mobile clients.","High if a mobile client bug or direct call exposes external checkout for digital app features.","Medium: authenticated mobile users could technically initiate web Stripe checkout.","Add server-side web-only guard using platform/client headers and origin policy; block checkout for store-distributed mobile clients.","API tests that iOS and Android client headers are rejected while web checkout still works.","FALSE"
"IAP-006","Stripe/Mobile","Portal endpoint policy boundary","apps/web/src/app/api/stripe/portal/route.ts","POST /api/stripe/portal","WEB_STRIPE_MOBILE_CONFLICT","High","Stripe portal route can create a portal session for any authenticated user with a Stripe customer ID and has no mobile-platform guard.","High if mobile app exposes the route for digital subscription management.","Medium: portal can allow subscription changes outside App Store or Play Billing from mobile context.","Add server-side web-only guard and remove mobile portal entry points; use native store management links for store subscriptions.","API tests that iOS and Android client headers are rejected for portal creation.","FALSE"
"IAP-007","Backend","Unified entitlement source of truth","apps/web/src/lib/iap-common.ts","applyIapStateToUser","ENTITLEMENT_STATE_MISMATCH","Critical","Applying App Store or Play Store state upserts the one user subscription row but does not clear stale Stripe customer, subscription, or price identifiers.","High: duplicate billing sources and incorrect manage links can confuse users and reviewers.","Critical: later Stripe webhooks or reconciliation can overwrite current store-managed entitlement, and store purchases can coexist with old Stripe identifiers.","Introduce a provider ledger plus derived entitlement, or explicitly archive/clear stale provider fields and enforce one active billing source with source priority.","Cross-source tests: Stripe-to-IAP switch, IAP-to-Stripe attempt, stale Stripe webhook after IAP purchase, and duplicate active source prevention.","FALSE"
"IAP-008","Backend","Unified entitlement source of truth","apps/web/src/app/api/stripe/checkout/route.ts","POST /api/stripe/checkout","ENTITLEMENT_STATE_MISMATCH","High","Stripe checkout blocks some Stripe states but does not clearly block users who already have an active App Store or Play Store subscription.","Medium: users may be offered web billing while already subscribed through a store.","High: duplicate subscriptions are possible and source-of-truth behavior is ambiguous.","Block Stripe checkout when current active entitlement is store-managed, or require an explicit migration/cancellation flow.","Tests that store-managed users cannot start Stripe checkout unless migration rules allow it.","FALSE"
"IAP-009","Backend","Google purchase acknowledgement","apps/web/src/lib/iap-common.ts","refreshGoogleSubscriptionFor","MISSING_PURCHASE_ACK","High","Google acknowledgement is attempted after active verification, but acknowledgement failure is logged and entitlement can still be returned as active.","Medium: unacknowledged purchases can be refunded by Google and create review/support issues.","High: user may receive durable access for a purchase that later auto-refunds because acknowledgement failed.","Make ack failure fail closed to pending entitlement or persist a durable retry job before granting durable access.","Tests for ack success, ack failure retry, and entitlement state while ack is pending.","FALSE"
"IAP-010","Backend","Mobile reconciliation","apps/web/src/app/api/cron","mobile IAP reconciliation","ENTITLEMENT_STATE_MISMATCH","High","Stripe reconciliation exists, and admin UI refers to mobile billing revalidation, but no App Store or Play Store subscription revalidation cron route was found.","Medium: missed store notifications can leave stale entitlements visible in review and production.","High: expired, refunded, or revoked store subscriptions can keep access until the user restores or another webhook arrives.","Add scheduled Apple and Google reconciliation that refreshes stale store-managed subscriptions using stored transaction IDs and purchase tokens.","Cron tests for Apple expiration, Play expiration, refund/revoke, stale validation, and retry behavior.","FALSE"
"IAP-011","iOS","Refund and revoke state mapping","apps/web/src/lib/iap-common.ts","normalizeAppleResult","REFUND_REVOKE_NOT_HANDLED","Medium","Apple revocation and refund signals are generally normalized to CANCELED rather than a distinct REFUNDED or revoked state.","Low to medium: support and subscription status can be unclear for users and reviewers.","Medium: accounting, support, and entitlement audits lose refund/revoke semantics.","Preserve refund/revoke notification type and revocation reason in normalized state and subscription audit fields.","Tests for App Store REFUND, REVOKE, expiration, grace, and billing retry mapping.","FALSE"
"IAP-012","Android","Refund and voided purchase state mapping","apps/web/src/app/api/webhooks/playstore/route.ts","POST /api/webhooks/playstore","REFUND_REVOKE_NOT_HANDLED","Medium","Voided purchase notifications set subscription status to CANCELED and do not retain refund type/order details in normalized entitlement.","Low to medium: support and subscription status can be unclear for users and reviewers.","Medium: refund/revoke analytics and entitlement audits lose event specificity.","Persist voided purchase details and map refund/revoke states distinctly from voluntary cancellation.","Tests for Play voided purchase notification and refunded subscription entitlement removal.","FALSE"
"IAP-013","iOS/Android","Product catalog","apps/web/src/app/api/mobile/iap/products/route.ts","GET /api/mobile/iap/products","PRODUCT_ID_MISMATCH","High","Mobile product IDs are exposed from runtime config names, but source cannot verify that App Store Connect and Play Console products exist, are active, or match monthly/yearly plan intent.","High: store review and purchase flow fail if products are missing, inactive, or mismatched.","High: client can show unavailable products or map purchases to wrong plan/interval.","Manually verify StoreKit product IDs, Play product IDs, subscription group, base plans, offers, prices, and runtime config before enabling mobile purchase.","Config tests for required product IDs in mobile-enabled environments; sandbox product fetch tests for both stores.","TRUE"
"IAP-014","Android","RTDN store configuration","apps/web/src/app/api/webhooks/playstore/route.ts","POST /api/webhooks/playstore","NEEDS_MANUAL_REVIEW","High","RTDN route supports OIDC verification and package validation, but Pub/Sub topic, audience, expected service account, and Play Console RTDN setup are external to source.","High if production RTDN is absent or unverifiable during review/launch.","High: renewals, cancellations, refunds, and grace-period changes can be missed.","Verify Play Console RTDN, Pub/Sub push authentication, audience, and expected service account settings in staging and production.","End-to-end RTDN test notification and signed Pub/Sub delivery test.","TRUE"
"IAP-015","iOS","App Store notification configuration","apps/web/src/app/api/webhooks/appstore/route.ts","POST /api/webhooks/appstore","NEEDS_MANUAL_REVIEW","High","App Store notification route verifies signed notifications, but App Store Server Notification URL and sandbox/production delivery setup are external to source.","High if App Store notifications are not configured before launch.","High: renewals, refunds, grace, billing retry, and revocations can be missed.","Configure and verify App Store Server Notifications for sandbox and production environments.","End-to-end App Store server notification tests for TEST, DID_RENEW, EXPIRED, REFUND, and REVOKE.","TRUE"
"IAP-016","iOS/Android","Store review metadata","apps/mobile/app.json","store submission","STORE_REVIEW_METADATA_GAP","High","Source shows app identifiers and purchase code but cannot verify review notes, active IAP products, subscription declarations, or test account instructions.","High: store review can reject apps with login or subscription flows that reviewers cannot test.","Medium: reviewers may see incomplete paywall or unavailable products.","Prepare review notes, test account, sandbox instructions, product screenshots, and subscription disclosures; hide purchase UI until ready.","Manual pre-submit checklist and scripted smoke test using reviewer account.","TRUE"
"IAP-017","iOS/Android","Privacy and data safety","apps/web/src/app/privacy/page.tsx","public privacy/data declarations","DATA_SAFETY_PRIVACY_GAP","Medium","Public privacy page exists, but App Store privacy nutrition labels and Play Data Safety answers are not source-verifiable and must match account, address, document, analytics, notification, and payment data use.","Medium: inaccurate privacy declarations can block review or create compliance exposure.","Medium: user data processing disclosures can drift from actual implementation.","Complete and periodically audit App Privacy and Play Data Safety declarations against actual app behavior and processors.","Store metadata review checklist and privacy declaration regression checklist.","TRUE"
"IAP-018","iOS/Android","Reviewer access","repository","store review test account","TEST_ACCOUNT_GAP","High","No source-verifiable App Review or Play Review test credentials, sandbox testers, or reviewer purchase instructions were found.","High: login-required apps can be rejected if reviewers cannot access premium and purchase flows.","Medium: review cannot validate restore, purchase, or existing subscriber paths.","Create reviewer account, sandbox testers, and review notes explaining free/login, IAP, restore, and existing subscriber scenarios.","Manual store-review dry run with reviewer account and sandbox purchase.","TRUE"
"IAP-019","iOS/Android","Purchase ownership binding","apps/mobile/src/lib/iap.ts","purchaseSubscription and restorePurchases","NEEDS_MANUAL_REVIEW","Medium","Purchase calls do not pass App Store app account token or Google obfuscated account/profile identifiers, and the database does not enforce purchaseToken uniqueness.","Low to medium: cross-account restore disputes are harder to prove.","Medium: token replay and account binding rely mostly on backend transaction ownership checks after purchase.","Pass stable hashed account identifiers supported by StoreKit/Play Billing and add database uniqueness or durable ownership checks for Google purchase tokens.","Cross-account purchase and restore tests with two users and the same store account.","FALSE"
"IAP-020","Security","Logging redaction","apps/web/src/app/api/webhooks/appstore/route.ts","unowned notification logging","NEEDS_MANUAL_REVIEW","Low","Unowned App Store notification logging can include full original transaction identifiers.","Low: not a payment policy blocker but long-lived purchase identifiers should be minimized in logs.","Low: logs can expose purchase identifiers to broader internal audiences.","Hash or partially redact transaction identifiers in logs and security events.","Logging tests or static checks for token/transaction redaction.","FALSE"
